state,date,new_cases,avg_cases,total_cases,recent_new,color
Arizona,2021-04-13,614,623.8571428571429,868830,767.4285714285714,orange
Arizona,2021-04-14,416,575.4285714285714,868830,719.2857142857143,orange
Arizona,2021-04-15,461,600.0,868830,688.5714285714286,orange
Arizona,2021-04-16,847,601.0,868830,623.8571428571429,orange
Arizona,2021-04-17,466,613.5714285714286,868830,575.4285714285714,orange
Arizona,2021-04-18,711,646.8571428571429,868830,600.0,orange
Arizona,2021-04-19,692,673.4285714285714,868830,601.0,orange
Arizona,2021-04-20,702,680.4285714285714,868830,613.5714285714286,orange
Arizona,2021-04-21,649,718.0,868830,646.8571428571429,orange
Arizona,2021-04-22,647,710.8571428571429,868830,673.4285714285714,orange
Arizona,2021-04-23,896,719.1428571428571,868830,680.4285714285714,orange
Arizona,2021-04-24,729,716.2857142857143,868830,718.0,orange
Arizona,2021-04-25,661,709.7142857142857,868830,710.8571428571429,orange
Arizona,2021-04-26,750,743.1428571428571,868830,719.1428571428571,orange
Arizona,2021-04-27,682,735.7142857142857,868830,716.2857142857143,orange
Arizona,2021-04-28,603,785.0,868830,709.7142857142857,orange
Arizona,2021-04-29,881,741.4285714285714,868830,743.1428571428571,orange
Arizona,2021-04-30,844,727.4285714285714,868830,735.7142857142857,orange
Arizona,2021-05-01,1074,730.1428571428571,868830,785.0,orange
Arizona,2021-05-02,356,750.0,868830,741.4285714285714,orange
Arizona,2021-05-03,652,710.0,868830,727.4285714285714,orange
Arizona,2021-05-04,701,706.5714285714286,868830,730.1428571428571,orange
Arizona,2021-05-05,742,687.2857142857143,868830,750.0,orange
Arizona,2021-05-06,601,700.4285714285714,868830,710.0,orange
Arizona,2021-05-07,820,708.5,868830,706.5714285714286,orange
Arizona,2021-05-08,939,710.0,868830,687.2857142857143,orange
Arizona,2021-05-09,448,702.0,868830,700.4285714285714,orange
California,2020-02-29,1,4.857142857142857,3758062,2.7142857142857144,orange
California,2020-03-01,5,4.142857142857143,3758062,3.4285714285714284,orange
California,2020-03-02,5,5.857142857142857,3758062,3.857142857142857,orange
California,2020-03-03,7,7.714285714285714,3758062,4.857142857142857,orange
California,2020-03-04,10,10.285714285714286,3758062,4.142857142857143,orange
California,2020-03-05,12,11.285714285714286,3758062,5.857142857142857,orange
California,2020-03-06,14,19.142857142857142,3758062,7.714285714285714,orange
California,2020-03-07,19,19.142857142857142,3758062,10.285714285714286,orange
California,2020-03-08,12,21.0,3758062,11.285714285714286,orange
California,2020-03-09,60,26.428571428571427,3758062,19.142857142857142,orange
California,2020-03-10,7,34.142857142857146,3758062,19.142857142857142,orange
California,2020-03-11,23,40.142857142857146,3758062,21.0,orange
California,2020-03-12,50,52.285714285714285,3758062,26.428571428571427,orange
California,2020-03-13,68,59.42857142857143,3758062,34.142857142857146,orange
California,2020-03-14,61,79.0,3758062,40.142857142857146,orange
California,2020-03-15,97,98.71428571428571,3758062,52.285714285714285,orange
California,2020-03-16,110,116.42857142857143,3758062,59.42857142857143,orange
California,2020-03-17,144,137.57142857142858,3758062,79.0,orange
California,2020-03-18,161,166.14285714285714,3758062,98.71428571428571,orange
California,2020-03-19,174,196.14285714285714,3758062,116.42857142857143,orange
California,2020-03-20,216,236.0,3758062,137.57142857142858,orange
California,2020-03-21,261,273.14285714285717,3758062,166.14285714285714,orange
California,2020-03-22,307,327.14285714285717,3758062,196.14285714285714,orange
California,2020-03-23,389,427.57142857142856,3758062,236.0,orange
California,2020-03-24,404,518.8571428571429,3758062,273.14285714285717,orange
California,2020-03-25,539,574.5714285714286,3758062,327.14285714285717,orange
California,2020-03-26,877,638.5714285714286,3758062,427.57142857142856,orange
California,2020-03-27,855,740.1428571428571,3758062,518.8571428571429,orange
California,2020-03-28,651,848.4285714285714,3758062,574.5714285714286,orange
California,2020-03-29,755,953.4285714285714,3758062,638.5714285714286,orange
California,2020-03-30,1100,1018.5714285714286,3758062,740.1428571428571,orange
California,2020-03-31,1162,1093.4285714285713,3758062,848.4285714285714,orange
California,2020-04-01,1274,1175.7142857142858,3758062,953.4285714285714,orange
California,2020-04-02,1333,1268.7142857142858,3758062,1018.5714285714286,orange
California,2020-04-03,1379,1277.142857142857,3758062,1093.4285714285713,orange
California,2020-04-04,1227,1279.5714285714287,3758062,1175.7142857142858,orange
California,2020-04-05,1406,1312.2857142857142,3758062,1268.7142857142858,orange
California,2020-04-06,1159,1285.857142857143,3758062,1277.142857142857,orange
California,2020-04-07,1179,1256.7142857142858,3758062,1279.5714285714287,orange
California,2020-04-08,1503,1232.142857142857,3758062,1312.2857142857142,orange
California,2020-04-09,1148,1160.142857142857,3758062,1285.857142857143,orange
California,2020-04-10,1175,1139.0,3758062,1256.7142857142858,orange
California,2020-04-11,1055,1174.0,3758062,1232.142857142857,orange
California,2020-04-12,902,1152.0,3758062,1160.142857142857,orange
California,2020-04-13,1011,1135.857142857143,3758062,1139.0,orange
California,2020-04-14,1424,1147.4285714285713,3758062,1174.0,orange
California,2020-04-15,1349,1201.142857142857,3758062,1152.0,orange
California,2020-04-16,1035,1174.4285714285713,3758062,1135.857142857143,orange
California,2020-04-17,1256,1361.142857142857,3758062,1147.4285714285713,orange
California,2020-04-18,1431,1440.857142857143,3758062,1201.142857142857,orange
California,2020-04-19,715,1495.142857142857,3758062,1174.4285714285713,orange
California,2020-04-20,2318,1627.4285714285713,3758062,1361.142857142857,orange
California,2020-04-21,1982,1710.0,3758062,1440.857142857143,orange
California,2020-04-22,1729,1680.142857142857,3758062,1495.142857142857,orange
California,2020-04-23,1961,1735.2857142857142,3758062,1627.4285714285713,orange
California,2020-04-24,1834,1620.857142857143,3758062,1710.0,orange
California,2020-04-25,1222,1532.2857142857142,3758062,1680.142857142857,orange
California,2020-04-26,1101,1618.7142857142858,3758062,1735.2857142857142,orange
California,2020-04-27,1517,1562.2857142857142,3758062,1620.857142857143,orange
California,2020-04-28,1362,1564.2857142857142,3758062,1532.2857142857142,orange
California,2020-04-29,2334,1594.7142857142858,3758062,1618.7142857142858,orange
California,2020-04-30,1566,1625.857142857143,3758062,1562.2857142857142,orange
California,2020-05-01,1848,1589.2857142857142,3758062,1564.2857142857142,orange
California,2020-05-02,1435,1754.0,3758062,1594.7142857142858,orange
California,2020-05-03,1319,1697.5714285714287,3758062,1625.857142857143,orange
California,2020-05-04,1261,1715.857142857143,3758062,1589.2857142857142,orange
California,2020-05-05,2515,1756.857142857143,3758062,1754.0,orange
California,2020-05-06,1939,1867.2857142857142,3758062,1697.5714285714287,orange
California,2020-05-07,1694,1854.142857142857,3758062,1715.857142857143,orange
California,2020-05-08,2135,1883.0,3758062,1756.857142857143,orange
California,2020-05-09,2208,1757.4285714285713,3758062,1867.2857142857142,orange
California,2020-05-10,1227,1775.857142857143,3758062,1854.142857142857,orange
California,2020-05-11,1463,1780.857142857143,3758062,1883.0,orange
California,2020-05-12,1636,1771.2857142857142,3758062,1757.4285714285713,orange
California,2020-05-13,2068,1729.857142857143,3758062,1775.857142857143,orange
California,2020-05-14,1729,1759.2857142857142,3758062,1780.857142857143,orange
California,2020-05-15,2068,1775.5714285714287,3758062,1771.2857142857142,orange
California,2020-05-16,1918,1833.0,3758062,1729.857142857143,orange
California,2020-05-17,1433,1843.857142857143,3758062,1759.2857142857142,orange
California,2020-05-18,1577,1934.4285714285713,3758062,1775.5714285714287,orange
California,2020-05-19,2038,1969.4285714285713,3758062,1833.0,orange
California,2020-05-20,2144,1983.142857142857,3758062,1843.857142857143,orange
California,2020-05-21,2363,2053.8571428571427,3758062,1934.4285714285713,orange
California,2020-05-22,2313,2153.4285714285716,3758062,1969.4285714285713,orange
California,2020-05-23,2014,2277.5714285714284,3758062,1983.142857142857,orange
California,2020-05-24,1928,2249.714285714286,3758062,2053.8571428571427,orange
California,2020-05-25,2274,2226.1428571428573,3758062,2153.4285714285716,orange
California,2020-05-26,2907,2320.285714285714,3758062,2277.5714285714284,orange
California,2020-05-27,1949,2469.285714285714,3758062,2249.714285714286,orange
California,2020-05-28,2198,2624.4285714285716,3758062,2226.1428571428573,orange
California,2020-05-29,2972,2660.8571428571427,3758062,2320.285714285714,orange
California,2020-05-30,3057,2593.8571428571427,3758062,2469.285714285714,orange
California,2020-05-31,3014,2647.714285714286,3758062,2624.4285714285716,orange
California,2020-06-01,2529,2692.285714285714,3758062,2660.8571428571427,orange
California,2020-06-02,2438,2781.0,3758062,2593.8571428571427,orange
California,2020-06-03,2326,2721.0,3758062,2647.714285714286,orange
California,2020-06-04,2510,2697.5714285714284,3758062,2692.285714285714,orange
California,2020-06-05,3593,2663.4285714285716,3758062,2781.0,orange
California,2020-06-06,2637,2737.714285714286,3758062,2721.0,orange
California,2020-06-07,2850,2818.8571428571427,3758062,2697.5714285714284,orange
California,2020-06-08,2290,2970.285714285714,3758062,2663.4285714285716,orange
California,2020-06-09,2958,2967.8571428571427,3758062,2737.714285714286,orange
California,2020-06-10,2894,3041.0,3758062,2818.8571428571427,orange
California,2020-06-11,3570,2993.714285714286,3758062,2970.285714285714,orange
California,2020-06-12,3576,3053.5714285714284,3758062,2967.8571428571427,orange
California,2020-06-13,3149,3126.5714285714284,3758062,3041.0,orange
California,2020-06-14,2519,3320.285714285714,3758062,2993.714285714286,orange
California,2020-06-15,2709,3346.5714285714284,3758062,3053.5714285714284,orange
California,2020-06-16,3469,3365.4285714285716,3758062,3126.5714285714284,orange
California,2020-06-17,4250,3488.5714285714284,3758062,3320.285714285714,orange
California,2020-06-18,3754,3693.4285714285716,3758062,3346.5714285714284,orange
California,2020-06-19,3708,4136.857142857143,3758062,3365.4285714285716,orange
California,2020-06-20,4011,4558.285714285715,3758062,3488.5714285714284,orange
California,2020-06-21,3953,4644.0,3758062,3693.4285714285716,orange
California,2020-06-22,5813,4896.857142857143,3758062,4136.857142857143,orange
California,2020-06-23,6419,5169.142857142857,3758062,4558.285714285715,orange
California,2020-06-24,4850,5228.428571428572,3758062,4644.0,orange
California,2020-06-25,5524,5449.714285714285,3758062,4896.857142857143,orange
California,2020-06-26,5614,5625.0,3758062,5169.142857142857,orange
California,2020-06-27,4426,5873.428571428572,3758062,5228.428571428572,orange
California,2020-06-28,5502,6267.857142857143,3758062,5449.714285714285,orange
California,2020-06-29,7040,6683.571428571428,3758062,5625.0,orange
California,2020-06-30,8158,7038.714285714285,3758062,5873.428571428572,orange
California,2020-07-01,7611,7674.714285714285,3758062,6267.857142857143,orange
California,2020-07-02,8434,7804.571428571428,3758062,6683.571428571428,orange
California,2020-07-03,8100,7696.285714285715,3758062,7038.714285714285,orange
California,2020-07-04,8878,7944.714285714285,3758062,7674.714285714285,orange
California,2020-07-05,6411,8077.142857142857,3758062,7804.571428571428,orange
California,2020-07-06,6282,7902.571428571428,3758062,7696.285714285715,orange
California,2020-07-07,9897,7886.714285714285,3758062,7944.714285714285,orange
California,2020-07-08,8538,7836.285714285715,3758062,8077.142857142857,orange
California,2020-07-09,7212,8012.714285714285,3758062,7902.571428571428,orange
California,2020-07-10,7989,8333.857142857143,3758062,7886.714285714285,orange
California,2020-07-11,8525,8403.857142857143,3758062,7836.285714285715,orange
California,2020-07-12,7646,8456.142857142857,3758062,8012.714285714285,orange
California,2020-07-13,8530,8749.285714285714,3758062,8333.857142857143,orange
California,2020-07-14,10387,9059.57142857143,3758062,8403.857142857143,orange
California,2020-07-15,8904,9023.42857142857,3758062,8456.142857142857,orange
California,2020-07-16,9264,9112.0,3758062,8749.285714285714,orange
California,2020-07-17,10161,9141.285714285714,3758062,9059.57142857143,orange
California,2020-07-18,8272,9110.42857142857,3758062,9023.42857142857,orange
California,2020-07-19,8266,9575.857142857143,3758062,9112.0,orange
California,2020-07-20,8735,9773.42857142857,3758062,9141.285714285714,orange
California,2020-07-21,10171,9739.142857142857,3758062,9110.42857142857,orange
California,2020-07-22,12162,10019.0,3758062,9575.857142857143,orange
California,2020-07-23,10647,9696.857142857143,3758062,9773.42857142857,orange
California,2020-07-24,9921,9558.285714285714,3758062,9739.142857142857,orange
California,2020-07-25,10231,9226.42857142857,3758062,10019.0,orange
California,2020-07-26,6011,9073.0,3758062,9696.857142857143,orange
California,2020-07-27,7765,8727.714285714286,3758062,9558.285714285714,orange
California,2020-07-28,7848,8453.857142857143,3758062,9226.42857142857,orange
California,2020-07-29,11088,8025.714285714285,3758062,9073.0,orange
